task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fe/595915	93562	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (mm10_chr18.gtf)	COMPLETED	0	2023-03-09 06:18:15.928	1.6s	0ms	91.6%	372 KB	11.2 MB	20.5 MB	434.8 KB
4	99/e612e3	93712	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (mm10_chr18.fa)	COMPLETED	0	2023-03-09 06:18:17.532	718ms	1s	78.7%	4.8 MB	12 MB	88.1 MB	4.8 KB
1	70/826526	93869	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (mm10_chr18.fa)	COMPLETED	0	2023-03-09 06:18:18.269	884ms	1s	90.0%	17.3 MB	22.3 MB	110 MB	20.3 MB
2	46/0491c9	94037	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-03-09 06:18:19.170	627ms	0ms	92.3%	6.7 MB	13.7 MB	1.4 MB	1.1 KB
10	c6/898242	94420	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473985)	COMPLETED	0	2023-03-09 06:19:39.427	4.9s	4s	118.1%	184.5 MB	3 GB	22.6 MB	1.8 MB
6	e2/a6ff9e	94855	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473984)	COMPLETED	0	2023-03-09 06:19:44.285	4.9s	4s	128.9%	213.4 MB	3 GB	23 MB	1.8 MB
11	e2/b6b8df	95289	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473986)	COMPLETED	0	2023-03-09 06:19:49.159	4.8s	3s	144.4%	198.4 MB	3 GB	22.6 MB	1.8 MB
13	9f/8500d3	95716	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473988)	COMPLETED	0	2023-03-09 06:19:53.988	5.2s	4s	132.5%	200.3 MB	3 GB	23.7 MB	1.8 MB
12	00/c76711	96152	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473987)	COMPLETED	0	2023-03-09 06:19:59.207	4.9s	4s	138.2%	192.7 MB	3 GB	22.9 MB	1.8 MB
14	87/e02959	96578	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473989)	COMPLETED	0	2023-03-09 06:20:04.099	6s	5s	120.0%	200.9 MB	3 GB	22.5 MB	1.8 MB
8	c5/90c15f	97061	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473985)	COMPLETED	0	2023-03-09 06:20:10.127	6.1s	6s	124.2%	205.5 MB	3 GB	79.4 MB	44.6 MB
7	69/ec84f2	97766	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473984)	COMPLETED	0	2023-03-09 06:20:16.202	6.2s	6s	128.3%	205.9 MB	3 GB	85.3 MB	50 MB
15	70/ce59a0	98560	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473987)	COMPLETED	0	2023-03-09 06:20:22.392	6.3s	6s	124.3%	223.7 MB	3 GB	83.3 MB	48.2 MB
16	1d/3a23fd	99320	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473988)	COMPLETED	0	2023-03-09 06:20:28.687	6.5s	7s	125.0%	250.5 MB	3 GB	99.5 MB	62.7 MB
17	11/fc8bef	100078	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473989)	COMPLETED	0	2023-03-09 06:20:35.145	5s	5s	137.8%	117.7 MB	2.9 GB	78.1 MB	43.7 MB
9	47/151ac4	100699	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473986)	COMPLETED	0	2023-03-09 06:20:40.210	6s	6s	123.2%	160.6 MB	3 GB	78 MB	43.5 MB
5	75/57a401	101396	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/mm10_chr18.fa)	COMPLETED	0	2023-03-09 06:20:46.221	1.6s	1s	94.8%	162.3 MB	234.9 MB	122.2 MB	34.2 MB
