task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	01/f0eaad	1061311	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (mm10_chr18.gtf)	CACHED	0	2023-03-13 04:44:07.298	2.1s	1s	83.8%	2.8 MB	15.3 MB	20.5 MB	434.8 KB
1	d3/2532e4	1061143	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (mm10_chr18.fa)	CACHED	0	2023-03-13 04:44:06.094	1.2s	1s	81.8%	11.2 MB	16.3 MB	110 MB	20.3 MB
3	18/69928c	1061641	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	CACHED	0	2023-03-13 04:44:10.204	822ms	0ms	88.9%	8.3 MB	14.1 MB	1.4 MB	1.1 KB
4	ff/680a32	1061483	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (mm10_chr18.fa)	CACHED	0	2023-03-13 04:44:09.388	803ms	1s	61.3%	4.7 MB	12 MB	88.1 MB	4.8 KB
5	5f/f8509a	1061814	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/mm10_chr18.fa)	CACHED	0	2023-03-13 04:44:11.054	1.8s	1s	97.5%	162.3 MB	235 MB	122.2 MB	34.2 MB
7	a9/dcc32f	1116328	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473984)	COMPLETED	0	2023-03-13 05:02:12.080	6.6s	6s	128.4%	165.4 MB	3 GB	85.5 MB	50 MB
10	1c/9e3152	1117154	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR3473985)	COMPLETED	0	2023-03-13 05:02:18.687	6.2s	6s	116.7%	176.3 MB	3 GB	79.2 MB	44.6 MB
6	99/4f8937	1117878	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473984)	COMPLETED	0	2023-03-13 05:02:24.873	6s	3s	134.5%	216.3 MB	3 GB	23 MB	1.8 MB
12	4a/0fd4df	1118302	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2023-03-13 05:02:30.926	2m 41s	2m 41s	178.0%	470.8 MB	1.3 GB	1.6 GB	947.1 MB
8	c2/4f4def	1121042	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR3473985)	COMPLETED	0	2023-03-13 05:05:12.304	5.7s	3s	146.3%	189 MB	3 GB	22.6 MB	1.8 MB
